qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
6519,937,831,15,12,16,1:49.952,\N,\N
6520,937,18,1,22,17,1:50.978,\N,\N
6521,937,4,1,14,18,1:51.420,\N,\N
6522,937,829,206,28,19,1:52.948,\N,\N
6523,937,833,206,98,20,1:53.099,\N,\N
6524,938,1,131,44,1,1:24.251,1:23.383,1:23.397
6525,938,8,6,7,2,1:24.662,1:23.757,1:23.631
6526,938,20,6,5,3,1:24.989,1:23.577,1:23.685
6527,938,3,131,6,4,1:24.609,1:23.864,1:23.703
6528,938,13,3,19,5,1:25.184,1:23.983,1:23.940
6529,938,822,3,77,6,1:24.979,1:24.313,1:24.127
6530,938,815,10,11,7,1:24.801,1:24.379,1:24.626
6531,938,154,208,8,8,1:25.144,1:24.448,1:25.054
6532,938,807,10,27,9,1:24.937,1:24.510,1:25.317
6533,938,828,15,9,10,1:25.122,1:24.457,1:26.214
6534,938,813,208,13,11,1:25.429,1:24.525,\N
6535,938,831,15,12,12,1:25.121,1:24.898,\N
6536,938,832,5,55,13,1:25.410,1:25.618,\N
6537,938,826,9,26,14,1:25.742,1:25.796,\N
6538,938,817,9,3,15,1:25.633,\N,\N
6539,938,18,1,22,16,1:26.058,\N,\N
6540,938,4,1,14,17,1:26.154,\N,\N
6541,938,829,209,28,18,1:27.731,\N,\N
6542,938,833,209,98,19,1:27.912,\N,\N
6543,938,830,5,33,20,\N,\N,\N
6544,939,20,6,5,1,1:46.017,1:44.743,1:43.885
6545,939,817,9,3,2,1:46.166,1:45.291,1:44.428
6546,939,8,6,7,3,1:46.467,1:45.140,1:44.667
6547,939,826,9,26,4,1:45.340,1:44.979,1:44.745
6548,939,1,131,44,5,1:45.765,1:45.650,1:45.300
6549,939,3,131,6,6,1:46.201,1:45.653,1:45.415
6550,939,822,3,77,7,1:46.231,1:45.887,1:45.676
6551,939,830,5,33,8,1:46.483,1:45.635,1:45.798
6552,939,13,3,19,9,1:46.879,1:45.701,1:46.077
6553,939,154,208,8,10,1:46.860,1:45.805,1:46.413
6554,939,807,10,27,11,1:46.669,1:46.305,\N
6555,939,4,1,14,12,1:46.600,1:46.328,\N
6556,939,815,10,11,13,1:46.576,1:46.385,\N
6557,939,832,5,55,14,1:46.465,1:46.894,\N
6558,939,18,1,22,15,1:45.891,1:47.019,\N
6559,939,831,15,12,16,1:46.965,\N,\N
6560,939,828,15,9,17,1:47.088,\N,\N
6561,939,813,208,13,18,1:47.323,\N,\N
6562,939,829,209,28,19,1:51.021,\N,\N
6563,939,834,209,53,20,1:51.523,\N,\N
6564,940,3,131,6,1,1:33.015,1:32.632,1:32.584
6565,940,1,131,44,2,1:32.844,1:32.789,1:32.660
6566,940,822,3,77,3,1:34.326,1:33.416,1:33.024
6567,940,20,6,5,4,1:34.431,1:33.844,1:33.245
6568,940,13,3,19,5,1:34.744,1:33.377,1:33.337
6569,940,8,6,7,6,1:34.171,1:33.361,1:33.347
6570,940,817,9,3,7,1:34.399,1:34.153,1:33.497
6571,940,154,208,8,8,1:34.398,1:34.278,1:33.967
6572,940,815,10,11,9,1:35.001,1:34.174,\N
6573,940,826,9,26,10,1:34.646,1:34.201,\N
6574,940,807,10,27,11,1:35.328,1:34.390,\N
6575,940,832,5,55,12,1:34.873,1:34.453,\N
6576,940,813,208,13,13,1:34.796,1:34.497,\N
6577,940,4,1,14,14,1:35.467,1:34.785,\N
6578,940,830,5,33,15,1:34.522,\N,\N
6579,940,18,1,22,16,1:35.664,\N,\N
6580,940,828,15,9,17,1:35.673,\N,\N
6581,940,831,15,12,18,1:35.760,\N,\N
6582,940,829,209,28,19,1:38.783,\N,\N
6583,940,834,209,53,20,1:47.114,\N,\N
6584,941,3,131,6,1,1:38.343,1:37.500,1:37.113
6585,941,1,131,44,2,1:38.558,1:37.672,1:37.433
6586,941,822,3,77,3,1:38.448,1:38.194,1:37.912
6587,941,20,6,5,4,1:38.598,1:38.402,1:37.965
6588,941,8,6,7,5,1:39.207,1:38.224,1:38.348
6589,941,807,10,27,6,1:39.250,1:38.727,1:38.659
6590,941,815,10,11,7,1:39.617,1:38.914,1:38.691
6591,941,154,208,8,8,1:39.056,1:38.754,1:38.787
6592,941,830,5,33,9,1:39.411,1:39.119,1:38.924
6593,941,817,9,3,10,1:39.574,1:39.005,1:39.728
6594,941,826,9,26,11,1:39.580,1:39.214,\N
6595,941,831,15,12,12,1:40.042,1:39.323,\N
6596,941,18,1,22,13,1:39.739,1:39.763,\N
6597,941,813,208,13,14,1:39.724,1:39.811,\N
6598,941,13,3,19,15,1:38.926,1:39.895,\N
6599,941,4,1,14,16,1:40.144,\N,\N
6600,941,828,15,9,17,1:40.660,\N,\N
6601,941,829,206,28,18,1:43.693,\N,\N
6602,941,833,206,98,19,1:43.804,\N,\N
6603,942,3,131,6,1,1:56.671,1:56.824,\N
6604,942,1,131,44,2,1:56.871,1:56.929,\N
6605,942,817,9,3,3,1:56.495,1:57.969,\N
6606,942,826,9,26,4,1:57.640,1:58.434,\N
6607,942,20,6,5,5,2:00.950,1:58.596,\N
6608,942,815,10,11,6,1:59.264,1:59.210,\N
6609,942,807,10,27,7,1:58.325,1:59.333,\N
6610,942,8,6,7,8,1:58.198,1:59.703,\N
6611,942,13,3,19,9,2:00.902,1:59.999,\N
6612,942,830,5,33,10,1:58.689,2:00.199,\N
6613,942,4,1,14,11,1:59.704,2:00.265,\N
6614,942,822,3,77,12,1:59.569,2:00.334,\N
6615,942,154,208,8,13,2:00.236,2:00.595,\N
6616,942,18,1,22,14,2:00.261,2:01.193,\N
6617,942,813,208,13,15,2:00.844,2:01.604,\N
6618,942,828,15,9,16,2:02.212,\N,\N
6619,942,831,15,12,17,2:03.194,\N,\N
6620,942,834,206,53,18,2:04.176,\N,\N
6621,942,829,206,28,19,2:04.526,\N,\N
6622,942,832,5,55,20,2:07.304,\N,\N
6623,943,3,131,6,1,1:20.436,1:20.053,1:19.480
6624,943,1,131,44,2,1:20.808,1:19.829,1:19.668
6625,943,20,6,5,3,1:20.503,1:20.045,1:19.850
6626,943,826,9,26,4,1:20.826,1:20.490,1:20.398
6627,943,817,9,3,5,1:21.166,1:20.783,1:20.399
6628,943,822,3,77,6,1:20.817,1:20.458,1:20.448
6629,943,13,3,19,7,1:21.379,1:20.642,1:20.567
6630,943,830,5,33,8,1:20.995,1:20.894,1:20.710
6631,943,815,10,11,9,1:20.966,1:20.669,1:20.716
6632,943,807,10,27,10,1:21.315,1:20.935,1:20.788
6633,943,832,5,55,11,1:20.960,1:20.942,\N
6634,943,154,208,8,12,1:21.577,1:21.038,\N
6635,943,813,208,13,13,1:21.520,1:21.261,\N
6636,943,828,15,9,14,1:21.299,1:21.544,\N
6637,943,8,6,7,15,1:21.422,1:22.494,\N
6638,943,4,1,14,16,1:21.779,\N,\N
6639,943,831,15,12,17,1:21.788,\N,\N
6640,943,834,206,53,18,1:24.136,\N,\N
6641,943,829,206,28,19,1:24.386,\N,\N
6642,943,18,1,22,20,\N,\N,\N
6643,944,3,131,6,1,1:11.746,1:12.213,1:11.282
6644,944,1,131,44,2,1:11.682,1:11.665,1:11.360
6645,944,20,6,5,3,1:12.240,1:11.928,1:11.804
6646,944,822,3,77,4,1:12.934,1:12.374,1:12.085
6647,944,8,6,7,5,1:12.185,1:12.243,1:12.144
6648,944,807,10,27,6,1:12.595,1:12.485,1:12.265
6649,944,826,9,26,7,1:12.730,1:12.527,1:12.322
6650,944,13,3,19,8,1:12.980,1:12.858,1:12.415
6651,944,817,9,3,9,1:12.639,1:12.825,1:12.417
6652,944,830,5,33,10,1:12.824,1:12.712,1:12.739
6653,944,831,15,12,11,1:13.111,1:12.989,\N
6654,944,832,5,55,12,1:13.267,1:13.045,\N
6655,944,815,10,11,13,1:13.140,1:13.147,\N
6656,944,828,15,9,14,1:13.346,1:13.233,\N
6657,944,154,208,8,15,1:13.056,1:13.913,\N
6658,944,813,208,13,16,1:13.385,\N,\N
6659,944,18,1,22,17,1:13.425,\N,\N
6660,944,834,206,53,18,1:16.151,\N,\N
6661,944,829,206,28,19,1:16.283,\N,\N
6662,944,4,1,14,20,\N,\N,\N
6663,945,3,131,6,1,1:41.111,1:40.979,1:40.237
6664,945,1,131,44,2,1:40.974,1:40.758,1:40.614
6665,945,8,6,7,3,1:42.500,1:41.612,1:41.051
6666,945,815,10,11,4,1:41.983,1:41.560,1:41.184
6667,945,817,9,3,5,1:42.275,1:41.830,1:41.444
6668,945,822,3,77,6,1:42.608,1:41.868,1:41.656
6669,945,807,10,27,7,1:41.996,1:41.925,1:41.686
6670,945,13,3,19,8,1:42.303,1:42.349,1:41.759
6671,945,826,9,26,9,1:42.540,1:42.328,1:41.933
6672,945,832,5,55,10,1:42.911,1:42.482,1:42.708
6673,945,830,5,33,11,1:42.889,1:42.521,\N
6674,945,18,1,22,12,1:42.570,1:42.668,\N
6675,945,813,208,13,13,1:42.929,1:42.807,\N
6676,945,831,15,12,14,1:42.896,1:43.614,\N
6677,945,154,208,8,15,1:42.585,\N,\N
6678,945,20,6,5,16,1:42.941,\N,\N
6679,945,4,1,14,17,1:43.187,\N,\N
6680,945,828,15,9,18,1:43.838,\N,\N
6681,945,829,209,28,19,1:46.297,\N,\N
6682,945,833,209,98,20,1:47.434,\N,\N
6683,948,1,131,44,1,1:25.351,1:24.605,1:23.837
6684,948,3,131,6,2,1:26.934,1:24.796,1:24.197
6685,948,20,6,5,3,1:26.945,1:25.257,1:24.675
6686,948,8,6,7,4,1:26.579,1:25.615,1:25.033
6687,948,830,5,33,5,1:26.934,1:25.615,1:25.434
6688,948,13,3,19,6,1:25.918,1:25.644,1:25.458
6689,948,832,5,55,7,1:27.057,1:25.384,1:25.582
6690,948,817,9,3,8,1:26.945,1:25.599,1:25.589
6691,948,815,10,11,9,1:26.607,1:25.753,\N
6692,948,807,10,27,10,1:26.550,1:25.865,\N
6693,948,822,3,77,11,1:27.135,1:25.961,\N
6694,948,4,1,14,12,1:26.537,1:26.125,\N
6695,948,18,1,22,13,1:26.740,1:26.304,\N
6696,948,835,4,30,14,1:27.241,1:27.601,\N
6697,948,825,4,20,15,1:27.297,1:27.742,\N
6698,948,828,15,9,16,1:27.435,\N,\N
6699,948,831,15,12,17,1:27.958,\N,\N
6700,948,826,9,26,18,1:28.006,\N,\N
6701,948,154,210,8,19,1:28.322,\N,\N
6702,948,821,210,21,20,1:29.606,\N,\N
6703,948,837,209,88,21,1:29.627,\N,\N
6704,948,836,209,94,22,1:29.642,\N,\N
6705,949,1,131,44,1,1:31.391,1:30.039,1:29.493
6706,949,3,131,6,2,1:31.325,1:30.535,1:29.570
6707,949,20,6,5,3,1:31.636,1:30.409,1:30.012
6708,949,8,6,7,4,1:31.685,1:30.559,1:30.244
6709,949,817,9,3,5,1:31.403,1:31.122,1:30.854
6710,949,822,3,77,6,1:31.672,1:30.931,1:31.153
6711,949,13,3,19,7,1:32.045,1:31.374,1:31.155
6712,949,807,10,27,8,1:31.987,1:31.604,1:31.620
6713,949,154,210,8,9,1:32.005,1:31.756,\N
6714,949,830,5,33,10,1:31.888,1:31.772,\N
6715,949,832,5,55,11,1:31.716,1:31.816,\N
6716,949,838,1,47,12,1:32.472,1:31.934,\N
6717,949,821,210,21,13,1:32.118,1:31.945,\N
6718,949,18,1,22,14,1:31.976,1:31.998,\N
6719,949,826,9,26,15,1:32.559,1:32.241,\N
6720,949,836,209,94,16,1:32.806,\N,\N
6721,949,828,15,9,17,1:32.840,\N,\N
6722,949,815,10,11,18,1:32.911,\N,\N
6723,949,825,4,20,19,1:33.181,\N,\N
6724,949,835,4,30,20,1:33.438,\N,\N
6725,949,837,209,88,21,1:34.190,\N,\N
6726,949,831,15,12,22,1:34.388,\N,\N
6727,950,3,131,6,1,1:37.669,1:36.240,1:35.402
6728,950,817,9,3,2,1:37.672,1:36.815,1:35.917
6729,950,8,6,7,3,1:37.347,1:36.118,1:35.972
6730,950,20,6,5,4,1:37.001,1:36.183,1:36.246
6731,950,822,3,77,5,1:37.537,1:36.831,1:36.296
6732,950,826,9,26,6,1:37.719,1:36.948,1:36.399
6733,950,815,10,11,7,1:38.096,1:37.149,1:36.865
6734,950,832,5,55,8,1:37.656,1:37.204,1:36.881
6735,950,830,5,33,9,1:38.181,1:37.265,1:37.194
6736,950,807,10,27,10,1:38.165,1:37.333,\N
6737,950,13,3,19,11,1:38.016,1:37.347,\N
6738,950,4,1,14,12,1:38.451,1:38.826,\N
6739,950,18,1,22,13,1:37.593,1:39.093,\N
6740,950,154,210,8,14,1:38.425,1:39.830,\N
6741,950,828,15,9,15,1:38.321,1:40.742,\N
6742,950,831,15,12,16,1:38.654,1:42.430,\N
6743,950,825,4,20,17,1:38.673,\N,\N
6744,950,821,210,21,18,1:38.770,\N,\N
6745,950,835,4,30,19,1:39.528,\N,\N
6746,950,837,209,88,20,1:40.264,\N,\N
6747,950,836,209,94,21,\N,\N,\N
6748,950,1,131,44,22,\N,\N,\N
6749,951,3,131,6,1,1:36.119,1:35.337,1:35.417
6750,951,20,6,5,2,1:36.555,1:36.623,1:36.123
6751,951,822,3,77,3,1:37.746,1:37.140,1:36.536
6752,951,8,6,7,4,1:36.976,1:36.741,1:36.663
6753,951,13,3,19,5,1:37.753,1:37.230,1:37.016
6754,951,817,9,3,6,1:38.091,1:37.569,1:37.125
6755,951,815,10,11,7,1:38.006,1:37.282,1:37.212
6756,951,826,9,26,8,1:38.265,1:37.606,1:37.459
6757,951,830,5,33,9,1:38.123,1:37.510,1:37.583
6758,951,1,131,44,10,1:36.006,1:35.820,\N
6759,951,832,5,55,11,1:37.784,1:37.652,\N
6760,951,18,1,22,12,1:38.332,1:37.701,\N
6761,951,807,10,27,13,1:38.562,1:37.771,\N
6762,951,4,1,14,14,1:37.971,1:37.807,\N
6763,951,154,210,8,15,1:38.383,1:38.055,\N
6764,951,821,210,21,16,1:38.678,1:38.115,\N
6765,951,825,4,20,17,1:38.914,\N,\N
6766,951,835,4,30,18,1:39.009,\N,\N
6767,951,831,15,12,19,1:39.018,\N,\N
6768,951,836,209,94,20,1:39.399,\N,\N
6769,951,837,209,88,21,1:39.463,\N,\N
6770,951,828,15,9,22,1:39.519,\N,\N
6771,952,1,131,44,1,1:23.214,1:22.159,1:22.000
6772,952,3,131,6,2,1:23.002,1:22.759,1:22.280
6773,952,817,9,3,3,1:23.749,1:23.585,1:22.680
6774,952,830,9,33,4,1:23.578,1:23.178,1:23.087
6775,952,8,6,7,5,1:23.796,1:23.504,1:23.113
6776,952,20,6,5,6,1:24.124,1:23.688,1:23.334
6777,952,822,3,77,7,1:24.251,1:24.023,1:23.522
6778,952,832,5,55,8,1:24.496,1:24.077,1:23.643
6779,952,815,10,11,9,1:24.698,1:24.003,1:23.782
6780,952,4,1,14,10,1:24.578,1:24.192,1:23.981
6781,952,807,10,27,11,1:24.463,1:24.203,\N
6782,952,18,1,22,12,1:24.583,1:24.348,\N
6783,952,826,5,26,13,1:24.696,1:24.445,\N
6784,952,154,210,8,14,1:24.716,1:24.480,\N
6785,952,825,4,20,15,1:24.669,1:24.625,\N
6786,952,821,210,21,16,1:24.406,1:24.778,\N
6787,952,835,4,30,17,1:24.903,\N,\N
6788,952,13,3,19,18,1:24.941,\N,\N
6789,952,828,15,9,19,1:25.202,\N,\N
6790,952,831,15,12,20,1:25.579,\N,\N
6791,952,836,209,94,21,1:25.745,\N,\N
6792,952,837,209,88,22,1:25.939,\N,\N
6793,953,817,9,3,1,1:14.912,1:14.357,1:13.622
6794,953,3,131,6,2,1:14.873,1:14.043,1:13.791
6795,953,1,131,44,3,1:14.826,1:14.056,1:13.942
6796,953,20,6,5,4,1:14.610,1:14.318,1:14.552
6797,953,807,10,27,5,1:15.333,1:14.989,1:14.726
6798,953,8,6,7,6,1:15.499,1:14.789,1:14.732
6799,953,832,5,55,7,1:15.467,1:14.805,1:14.749
6800,953,815,10,11,8,1:15.328,1:14.937,1:14.902
6801,953,826,5,26,9,1:15.384,1:14.794,1:15.273
6802,953,4,1,14,10,1:15.504,1:15.107,1:15.363
6803,953,822,3,77,11,1:15.521,1:15.273,\N
6804,953,821,210,21,12,1:15.592,1:15.293,\N
6805,953,18,1,22,13,1:15.554,1:15.352,\N
6806,953,13,3,19,14,1:15.710,1:15.385,\N
6807,953,154,210,8,15,1:15.465,1:15.571,\N
6808,953,825,4,20,16,1:16.253,1:16.058,\N
6809,953,828,15,9,17,1:16.299,\N,\N
6810,953,835,4,30,18,1:16.586,\N,\N
6811,953,837,209,88,19,1:17.295,\N,\N
6812,953,836,209,94,20,1:17.452,\N,\N
6813,953,830,9,33,21,1:22.467,\N,\N
6814,953,831,15,12,22,\N,\N,\N
6815,954,1,131,44,1,1:14.121,1:13.076,1:12.812
6816,954,3,131,6,2,1:13.714,1:13.094,1:12.874
6817,954,20,6,5,3,1:13.925,1:13.857,1:12.990
6818,954,817,9,3,4,1:14.030,1:13.540,1:13.166
6819,954,830,9,33,5,1:14.601,1:13.793,1:13.414
6820,954,8,6,7,6,1:14.477,1:13.849,1:13.579
6821,954,822,3,77,7,1:14.389,1:13.791,1:13.670
6822,954,13,3,19,8,1:14.815,1:13.864,1:13.769
6823,954,807,10,27,9,1:14.663,1:14.166,1:13.952
6824,954,4,1,14,10,1:15.026,1:14.260,1:14.338
6825,954,815,10,11,11,1:14.814,1:14.317,\N
6826,954,18,1,22,12,1:14.755,1:14.437,\N
6827,954,826,5,26,13,1:14.829,1:14.457,\N
6828,954,821,210,21,14,1:15.148,1:14.571,\N
6829,954,154,210,8,15,1:15.444,1:14.803,\N
6830,954,832,5,55,16,1:14.714,1:21.956,\N
6831,954,835,4,30,17,1:15.459,\N,\N
6832,954,836,209,94,18,1:15.599,\N,\N
6833,954,828,15,9,19,1:15.635,\N,\N
6834,954,831,15,12,20,1:16.663,\N,\N
6835,954,837,209,88,21,1:17.052,\N,\N
6836,955,3,131,6,1,1:43.685,1:42.520,1:42.758
6837,955,815,10,11,2,1:44.462,1:43.939,1:43.515
6838,955,817,9,3,3,1:44.570,1:44.141,1:43.966
6839,955,20,6,5,4,1:45.062,1:44.461,1:43.966
6840,955,8,6,7,5,1:44.936,1:44.533,1:44.269
6841,955,13,3,19,6,1:45.494,1:44.696,1:44.483
6842,955,826,5,26,7,1:44.694,1:44.687,1:44.717
6843,955,822,3,77,8,1:44.706,1:44.477,1:45.246
6844,955,830,9,33,9,1:44.939,1:44.387,1:45.570
6845,955,1,131,44,10,1:44.259,1:43.526,2:01.954
6846,955,154,210,8,11,1:45.507,1:44.755,\N
6847,955,807,10,27,12,1:44.860,1:44.824,\N
6848,955,832,5,55,13,1:44.827,1:45.000,\N
6849,955,4,1,14,14,1:45.525,1:45.270,\N
6850,955,821,210,21,15,1:45.300,1:45.349,\N
6851,955,831,15,12,16,1:45.549,1:46.048,\N
6852,955,837,209,88,17,1:45.665,\N,\N
6853,955,836,209,94,18,1:45.750,\N,\N
6854,955,18,1,22,19,1:45.804,\N,\N
6855,955,828,15,9,20,1:46.231,\N,\N
6856,955,825,4,20,21,1:46.348,\N,\N
6857,955,835,4,30,22,1:46.394,\N,\N
6858,956,1,131,44,1,1:06.947,1:06.228,1:07.922
6859,956,3,131,6,2,1:06.516,1:06.403,1:08.465
6860,956,807,10,27,3,1:07.385,1:07.257,1:09.285
6861,956,20,6,5,4,1:06.761,1:06.602,1:09.781
6862,956,18,1,22,5,1:07.653,1:07.572,1:09.900
6863,956,8,6,7,6,1:07.240,1:06.940,1:09.901
6864,956,817,9,3,7,1:07.500,1:06.840,1:09.980
6865,956,822,3,77,8,1:07.148,1:06.911,1:10.440
6866,956,830,9,33,9,1:07.131,1:06.866,1:11.153
6867,956,13,3,19,10,1:07.419,1:07.145,1:11.977
6868,956,821,210,21,11,1:07.660,1:07.578,\N
6869,956,836,209,94,12,1:07.565,1:07.700,\N
6870,956,154,210,8,13,1:07.662,1:07.850,\N
6871,956,4,1,14,14,1:07.671,1:08.154,\N
6872,956,832,5,55,15,1:07.618,\N,\N
6873,956,815,10,11,16,1:07.657,\N,\N
6874,956,825,4,20,17,1:07.941,\N,\N
6875,956,835,4,30,18,1:07.965,\N,\N
6876,956,837,209,88,19,1:08.026,\N,\N
6877,956,826,5,26,20,1:08.409,\N,\N
6878,956,828,15,9,21,1:08.418,\N,\N
6879,956,831,15,12,22,1:08.446,\N,\N
6880,957,1,131,44,1,1:30.739,1:29.243,1:29.287
6881,957,3,131,6,2,1:30.724,1:29.970,1:29.606
6882,957,830,9,33,3,1:31.305,1:30.697,1:30.313
6883,957,817,9,3,4,1:31.684,1:31.319,1:30.618
6884,957,8,6,7,5,1:31.326,1:31.385,1:30.881
6885,957,20,6,5,6,1:31.606,1:30.711,1:31.490
6886,957,822,3,77,7,1:31.913,1:31.478,1:31.557
6887,957,832,5,55,8,1:32.115,1:31.708,1:31.989
6888,957,807,10,27,9,1:32.349,1:31.770,1:32.172
6889,957,4,1,14,10,1:32.281,1:31.740,1:32.343
6890,957,815,10,11,11,1:32.336,1:31.875,\N
6891,957,13,3,19,12,1:32.146,1:32.002,\N
6892,957,154,210,8,13,1:32.283,1:32.050,\N
6893,957,821,210,21,14,1:32.237,1:32.241,\N
6894,957,826,5,26,15,1:32.553,1:32.306,\N
6895,957,825,4,20,16,1:32.729,1:37.060,\N
6896,957,18,1,22,17,1:32.788,\N,\N
6897,957,835,4,30,18,1:32.905,\N,\N
